DisciplineIncidents_Chart_SeriesGroup_label,DisciplineIncidents_Chart_SeriesGroup_DisciplineIncidents_Chart_CategoryGroup_label,DisciplineIncidents_Chart_SeriesGroup_DisciplineIncidents_Chart_CategoryGroup_Value_Y,,,,,,,,,,,,,
SIGEL ELEM. COMM. ED. CTR.,2015,0,,,,,,,,,,,,,
SIGEL ELEM. COMM. ED. CTR.,2016,0,,,,,,,,,,,,,
SIGEL ELEM. COMM. ED. CTR.,2017,0.8,,,,,,,,,,,,,
SOLDAN INTERNATIONAL STUDIES,2013,0.9,,,,,,,,,,,,,
SOLDAN INTERNATIONAL STUDIES,2014,2.3,,,,,,,,,,,,,
SOLDAN INTERNATIONAL STUDIES,2015,2.5,,,,,,,,,,,,,
SOLDAN INTERNATIONAL STUDIES,2016,1.9,,,,,,,,,,,,,
SOLDAN INTERNATIONAL STUDIES,2017,0,,,,,,,,,,,,,
ST. LOUIS CHILDREN'S HOSPITAL,2013,0,,,,,,,,,,,,,
ST. LOUIS CHILDREN'S HOSPITAL,2014,0,,,,,,,,,,,,,
ST. LOUIS CHILDREN'S HOSPITAL,2015,0,,,,,,,,,,,,,
ST. LOUIS CHILDREN'S HOSPITAL,2016,0,,,,,,,,,,,,,
ST. LOUIS CHILDREN'S HOSPITAL,2017,0,,,,,,,,,,,,,
STEVENS MIDDLE COMMUNITY ED.,2013,0,,,,,,,,,,,,,
STEVENS MIDDLE COMMUNITY ED.,2014,0,,,,,,,,,,,,,
STEVENS MIDDLE COMMUNITY ED.,2015,0,,,,,,,,,,,,,
STEVENS MIDDLE COMMUNITY ED.,2016,,,,,,,,,,,,,,
STEVENS MIDDLE COMMUNITY ED.,2017,,,,,,,,,,,,,,
STIX EARLY CHILDHOOD CTR.,2013,0,,,,,,,,,,,,,
STIX EARLY CHILDHOOD CTR.,2014,0,,,,,,,,,,,,,
STIX EARLY CHILDHOOD CTR.,2015,0,,,,,,,,,,,,,
STIX EARLY CHILDHOOD CTR.,2016,0,,,,,,,,,,,,,
STIX EARLY CHILDHOOD CTR.,2017,0,,,,,,,,,,,,,
SUMNER HIGH,2013,9,,,,,,,,,,,,,
SUMNER HIGH,2014,10.2,,,,,,,,,,,,,
SUMNER HIGH,2015,27.5,,,,,,,,,,,,,
SUMNER HIGH,2016,28.7,,,,,,,,,,,,,
SUMNER HIGH,2017,6.9,,,,,,,,,,,,,
THE COLLEGE PREPARATORY HIGH,2013,2.1,,,,,,,,,,,,,
THE COLLEGE PREPARATORY HIGH,2014,3.5,,,,,,,,,,,,,
THE COLLEGE PREPARATORY HIGH,2015,2.8,,,,,,,,,,,,,
THE COLLEGE PREPARATORY HIGH,2016,,,,,,,,,,,,,,
THE COLLEGE PREPARATORY HIGH,2017,,,,,,,,,,,,,,
TRANSPORTATION AND LAW,2013,6.7,,,,,,,,,,,,,
TRANSPORTATION AND LAW,2014,11.8,,,,,,,,,,,,,
TRANSPORTATION AND LAW,2015,4.7,,,,,,,,,,,,,
TRANSPORTATION AND LAW,2016,11.4,,,,,,,,,,,,,
TRANSPORTATION AND LAW,2017,7.3,,,,,,,,,,,,,
VASHON HIGH,2013,9.9,,,,,,,,,,,,,
VASHON HIGH,2014,11.9,,,,,,,,,,,,,
VASHON HIGH,2015,26.8,,,,,,,,,,,,,
VASHON HIGH,2016,13.6,,,,,,,,,,,,,
VASHON HIGH,2017,15.3,,,,,,,,,,,,,
VICC,2013,0,,,,,,,,,,,,,
VICC,2014,0,,,,,,,,,,,,,
VICC,2015,0,,,,,,,,,,,,,
VICC,2016,0,,,,,,,,,,,,,
VICC,2017,0,,,,,,,,,,,,,
VO. TECH. TUITION,2013,0,,,,,,,,,,,,,
VO. TECH. TUITION,2014,0,,,,,,,,,,,,,
VO. TECH. TUITION,2015,0,,,,,,,,,,,,,
VO. TECH. TUITION,2016,0,,,,,,,,,,,,,
