CertificationStatus_Chart_SeriesGroup_label,CertificationStatus_Chart_SeriesGroup_CertificationStatus_Chart_CategoryGroup_label,CertificationStatus_Chart_SeriesGroup_CertificationStatus_Chart_CategoryGroup_Value_X,CertificationStatus_Chart_SeriesGroup_CertificationStatus_Chart_CategoryGroup_Value_Y,,
THE COLLEGE PREPARATORY HIGH  (1550),2014,2014,92.6,,
THE COLLEGE PREPARATORY HIGH  (1550),2015,2015,88.5,,
THE COLLEGE PREPARATORY HIGH  (1550),2016,,,,
THE COLLEGE PREPARATORY HIGH  (1550),2017,,,,
TRANSPORTATION AND LAW  (1540),2013,2013,87.2,,
TRANSPORTATION AND LAW  (1540),2014,2014,82.3,,
TRANSPORTATION AND LAW  (1540),2015,2015,76.3,,
TRANSPORTATION AND LAW  (1540),2016,2016,75.9,,
TRANSPORTATION AND LAW  (1540),2017,2017,0,,
VASHON HIGH  (1830),2013,2013,82,,
VASHON HIGH  (1830),2014,2014,80.5,,
VASHON HIGH  (1830),2015,2015,78.7,,
VASHON HIGH  (1830),2016,2016,72.3,,
VASHON HIGH  (1830),2017,2017,0,,
VICC  (9990),2013,2013,0,,
VICC  (9990),2014,2014,0,,
VICC  (9990),2015,2015,0,,
VICC  (9990),2016,2016,0,,
VICC  (9990),2017,2017,0,,
VO. TECH. TUITION  (9995),2013,2013,0,,
VO. TECH. TUITION  (9995),2014,2014,0,,
VO. TECH. TUITION  (9995),2015,2015,0,,
VO. TECH. TUITION  (9995),2016,2016,0,,
VO. TECH. TUITION  (9995),2017,2017,0,,
WALBRIDGE ELEM. COMMUNITY ED.  (5960),2013,2013,70.2,,
WALBRIDGE ELEM. COMMUNITY ED.  (5960),2014,2014,64.4,,
WALBRIDGE ELEM. COMMUNITY ED.  (5960),2015,2015,62.2,,
WALBRIDGE ELEM. COMMUNITY ED.  (5960),2016,2016,62.1,,
WALBRIDGE ELEM. COMMUNITY ED.  (5960),2017,2017,0,,
WASHINGTON MONTESSORI  (6010),2013,2013,97.7,,
WASHINGTON MONTESSORI  (6010),2014,2014,100,,
